Date	Date	Number	Name	Industry	Revenue for the month	Last month's revenue	Last year's monthly revenue	Compared with last month(%)	Change in the same month last year(%)	Cumulative revenue for the month	Cumulative revenue last year	Compared with the increase and decrease in the previous period(%)	備註
1120717	11206	1528	恩德	電機機械	326549	300035	398023	8.83696902	-17.95725373	1863375	1847544	0.856867279	-
1120717	11206	1529	樂事綠能	電機機械	37680	69145	32896	-45.5058211	14.54280156	307112	114201	168.9223387	"本年因台電停置式變壓器交貨及新增太陽能案場售電等,故YOY增幅大"
1120717	11206	1530	亞崴	電機機械	253368	207418	235926	22.15333288	7.392996109	1197439	1371482	-12.69014103	-
1120717	11206	1531	高林股	電機機械	167559	92972	277868	80.2252291	-39.69834598	748964	1457698	-48.62008454	-
1120717	11206	1532	勤美	電機機械	2828888	975871	1138896	189.8833965	148.3886149	7546740	7667484	-1.574753857	兩期變動達50%以上，主係本月認列完工交屋營建收入較去年同期增加所致
1120717	11206	1533	車王電	汽車工業	328932	486939	340182	-32.44903366	-3.307053283	2028325	1535348	32.10848615	-
1120717	11206	1535	中宇	電機機械	972580	793274	854971	22.60328714	13.75590517	4496984	4159933	8.102317994	-
1120717	11206	1536	和大	汽車工業	512596	631275	683281	-18.79988911	-24.9802058	3495271	3515220	-0.567503599	-
1120717	11206	1537	廣隆	電機機械	531517	621738	697872	-14.51109631	-23.8374659	3038645	3694952	-17.76226051	-
1120717	11206	1538	正峰	電機機械	14982	19025	28598	-21.25098555	-47.6117211	108929	117947	-7.645807015	-
1120717	11206	1539	巨庭	電機機械	144623	155084	272970	-6.745376699	-47.01872001	704891	1560178	-54.81983466	國外市場須求減少
1120717	11206	1540	喬福	電機機械	21313	63881	13057	-66.63640206	63.2304511	261870	224774	16.50368815	歐洲市場成長
1120717	11206	1541	錩泰	電機機械	258516	404011	215544	-36.01263332	19.93653268	1538360	2604387	-40.93197363	-
1120717	11206	1558	伸興	電機機械	718169	648984	877908	10.66050935	-18.19541455	3565050	3911651	-8.860734253	-
1120717	11206	1560	中砂	電機機械	519571	546335	668209	-4.898825812	-22.24423796	3137573	3502982	-10.43136962	-
1120717	11206	1568	倉佑	汽車工業	145662	154252	161013	-5.568809481	-9.534012782	781346	964016	-18.94885562	-
1120717	11206	1582	信錦	電子零組件業	725641	764406	1071936	-5.071257944	-32.30556675	3992437	5568046	-28.29734165	-
1120717	11206	1583	程泰	電機機械	495305	523891	493699	-5.456478542	0.325299423	2586662	2909710	-11.10241227	-
1120717	11206	1587	吉茂	汽車工業	191455	210431	256061	-9.017682756	-25.23070675	1117628	1305038	-14.36050138	-
1120717	11206	1589	永冠-KY	電機機械	592701	839743	869773	-29.41876265	-31.85566809	4560083	4143517	10.05344011	-
1120717	11206	1590	亞德客-KY	電機機械	2542033	2772214	2307603	-8.303146871	10.15902649	14907697	13731348	8.566886514	本月營業收入換算匯率為4.2956799；本年累計營業收入換算匯率為4.4047569。
1120717	11206	1597	直得	電機機械	78961	101660	170410	-22.3283494	-53.66410422	593241	845076	-29.80027832	受產業景氣影響，訂單減少
1120717	11206	1598	岱宇	運動休閒	413317	558925	420104	-26.05143803	-1.615552339	3744494	3637707	2.935558031	-
1120717	11206	1603	華電	電器電纜	331324	360279	293035	-8.036827015	13.06635726	1847758	1491862	23.85582581	-
1120717	11206	1604	聲寶	電器電纜	824019	869115	794233	-5.188726463	3.750284866	4797016	4812548	-0.322739638	-
1120717	11206	1605	華新	電器電纜	15511914	17711337	15579541	-12.4181647	-0.434075689	100150948	92978134	7.71451705	-
1120717	11206	1608	華榮	電器電纜	675438	842263	885096	-19.8067587	-23.68759999	4764679	5534003	-13.90176333	-
1120717	11206	1609	大亞	電器電纜	2135689	2097985	2263177	1.797152983	-5.633143143	12656183	13779971	-8.155227613	-
1120717	11206	1611	中電	電器電纜	105706	108068	129570	-2.18566088	-18.41784364	639629	785868	-18.60859585	-
1120717	11206	1612	宏泰	電器電纜	562749	458523	468654	22.73081176	20.07771192	2812030	3071327	-8.442507099	-
1120717	11206	1614	三洋電	電器電纜	570295	576628	646108	-1.098281734	-11.73379683	3044586	3212222	-5.218692855	-
1120717	11206	1615	大山	電器電纜	383148	297594	342722	28.74856348	11.79556609	2058077	2068283	-0.493452782	-
1120717	11206	1616	億泰	電器電纜	330174	356316	278272	-7.336746034	18.65153519	1968365	1779958	10.58491268	-
1120717	11206	1617	榮星	電器電纜	241717	219569	302685	10.08703414	-20.14239226	1359062	1941107	-29.98520947	-
1120717	11206	1618	合機	電器電纜	400084	234673	113317	70.48573973	253.0661772	1771728	1231014	43.92427706	"112年6月業主通知交貨較多,致超高壓線出貨量較去年同期增加。"
1120717	11206	1626	艾美特-KY	電器電纜	1235197	1285260	1402909	-3.895165181	-11.95458864	5457311	5845880	-6.646886354	-
1120717	11206	1701	中化	生技醫療業	729551	698521	711385	4.442242968	2.553610211	4231102	4035987	4.83438128	-
1120717	11206	1702	南僑	食品工業	1894892	1923791	1795355	-1.502190207	5.544140295	10996707	9907561	10.99307892	-
1120717	11206	1707	葡萄王	生技醫療業	944769	929197	883576	1.675855604	6.925606852	4884354	4775053	2.289000771	-
1120717	11206	1708	東鹼	化學工業	499685	491182	804755	1.731130212	-37.90843176	3013415	3875031	-22.23507373	-
1120717	11206	1709	和益	化學工業	752930	654799	787545	14.98643095	-4.395304395	4871218	5565948	-12.48179106	-
1120717	11206	1710	東聯	化學工業	1524124	1869771	1474470	-18.48606059	3.367582928	10462237	12044577	-13.13736464	無
1120717	11206	1711	永光	化學工業	646525	676521	762410	-4.433860885	-15.19982686	3848076	4736034	-18.74897858	-
1120717	11206	1712	興農	化學工業	1469449	1555910	2118309	-5.556940954	-30.63103636	9699750	12165558	-20.26876202	-
1120717	11206	1713	國化	化學工業	39007	37301	54346	4.573603925	-28.22470835	227886	329197	-30.77518932	-
1120717	11206	1714	和桐	化學工業	1567642	1492139	1839578	5.060051376	-14.78252077	9889877	10612353	-6.807877574	-
1120717	11206	1717	長興	化學工業	3448811	3691766	4158528	-6.580996737	-17.06654374	20425201	25548603	-20.05355048	-
1120717	11206	1718	中纖	化學工業	3227783	3429587	2756923	-5.884207049	17.07918574	18943109	16426010	15.32386136	本月份自結異業別合併營收資訊，未經會計師簽證或核閱。
1120717	11206	1720	生達	生技醫療業	496451	516803	545007	-3.938057635	-8.909243368	3001996	2718656	10.42206149	-
1120717	11206	1721	三晃	化學工業	124401	207930	205457	-40.1716924	-39.45156407	1075170	1651828	-34.91029332	-
1120717	11206	1722	台肥	化學工業	3576861	1100251	1199247	225.095001	198.2589075	9464210	7831150	20.8533868	"本月營業收入較去年同月增加，主因房地營收增加2,616,889仟元。"
1120717	11206	1723	中碳	化學工業	737721	584378	1067016	26.24037866	-30.86129917	4564869	5615040	-18.70282313	-
1120717	11206	1725	元禎	化學工業	498679	651621	947350	-23.47100539	-47.36063757	3725586	5276824	-29.39719043	-
1120717	11206	1726	永記	化學工業	753886	727324	753876	3.652017533	0.001326478	4638716	4748521	-2.31240422	-
1120717	11206	1727	中華化	化學工業	132386	156072	178553	-15.17632887	-25.85618836	864476	1156846	-25.27302683	-
1120717	11206	1730	花仙子	化學工業	222266	206746	227339	7.506795778	-2.231469304	1322507	1410255	-6.222137131	-
1120717	11206	1731	美吾華	生技醫療業	104522	104374	117402	0.141797766	-10.97085229	660277	628853	4.997034283	上半年營收較去年成長，當月營收與去年高基期比趨緩。
1120717	11206	1732	毛寶	化學工業	50146	53523	56065	-6.309437064	-10.55738875	288947	306001	-5.573184401	-
1120717	11206	1733	五鼎	生技醫療業	129824	136814	188243	-5.109126259	-31.0338233	853818	1130059	-24.44482987	-
1120717	11206	1734	杏輝	生技醫療業	222942	264870	239595	-15.82965228	-6.950478933	1498332	1384122	8.251440263	-
1120717	11206	1735	日勝化	化學工業	183485	187734	275565	-2.263308724	-33.41498376	1119973	1618437	-30.79909814	-
1120717	11206	1736	喬山	運動休閒	3131669	3102338	2180683	0.945448239	43.60954802	15654003	14099737	11.02336873	-
1120717	11206	1737	臺鹽	食品工業	283034	315818	276814	-10.38066228	2.246996178	1724488	1796700	-4.019146213	-
1120717	11206	1752	南光	生技醫療業	176948	186278	173736	-5.008642996	1.84878206	1096861	848609	29.25399094	-
1120717	11206	1760	寶齡富錦	生技醫療業	125781	225334	242694	-44.18019473	-48.17300799	878601	1269358	-30.78382931	-
1120717	11206	1762	中化生	生技醫療業	132165	181028	239655	-26.99195705	-44.85197471	1291933	1108935	16.50213944	-
1120717	11206	1773	勝一	化學工業	771881	790846	1014151	-2.398064857	-23.8889475	4774826	6047557	-21.04537419	-
1120717	11206	1776	展宇	化學工業	84266	80995	105956	4.038520896	-20.47076145	562093	790333	-28.87896621	-
1120717	11206	1783	和康生	生技醫療業	62395	56153	62372	11.11605791	0.036875521	313946	277516	13.12717105	-
1120717	11206	1786	科妍	生技醫療業	71197	62058	56624	14.72654613	25.73643685	303643	232578	30.55534057	-
1120717	11206	1789	神隆	生技醫療業	368628	194709	288817	89.32252746	27.63376117	1403331	1543477	-9.079889108	-
1120717	11206	1795	美時	生技醫療業	1103110	1321517	1040734	-16.52699133	5.993462306	8965703	6071809	47.66115008	-
1120717	11206	1802	台玻	玻璃陶瓷	3615133	3774315	3581054	-4.217507018	0.951647197	21190059	21942466	-3.428999275	-
1120717	11206	1805	寶徠	建材營造	619	77846	12902	-99.20484033	-95.20229422	80681	220232	-63.36545098	去年同期及累計營收較高主要係認列康橋旭案收入均較本期為高所致。
1120717	11206	1806	冠軍	玻璃陶瓷	249446	316601	272646	-21.21124065	-8.509202409	1453829	1581010	-8.044288145	-
1120717	11206	1808	潤隆	建材營造	2174708	2263754	137690	-3.933554618	1479.423342	7524417	886160	749.1036607	營收變動主要係本月及本期累計房地出售收入皆較去年同期增加所致。
1120717	11206	1809	中釉	玻璃陶瓷	182228	205417	209142	-11.28874436	-12.86876859	1113489	1266302	-12.06765843	-
1120717	11206	1810	和成	玻璃陶瓷	468083	465427	520641	0.570658771	-10.09486383	2403717	2596971	-7.441515519	-
1120717	11206	1817	凱撒衛	玻璃陶瓷	202530	248227	223055	-18.40935918	-9.20176638	1155977	1279316	-9.64101129	-
1120717	11206	1903	士紙	造紙工業	14150	12369	14855	14.39890048	-4.745876809	87120	85535	1.853042614	-
1120717	11206	1904	正隆	造紙工業	3584056	3610821	3744788	-0.741244166	-4.292152186	20557460	22804870	-9.854956419	-
1120717	11206	1905	華紙	造紙工業	1608044	1698593	2178861	-5.330823805	-26.19795389	10516946	11748525	-10.48283934	-
1120717	11206	1906	寶隆	造紙工業	339846	368689	475991	-7.823124639	-28.60243156	1713774	2613950	-34.43738404	-
1120717	11206	1907	永豐餘	造紙工業	5866633	6174508	6912805	-4.986227243	-15.13382773	35655571	39881765	-10.59680784	-
1120717	11206	1909	榮成	造紙工業	3705028	4054407	4601755	-8.617265114	-19.48663064	22790968	26766112	-14.85140614	-
1120717	11206	2002	中鋼	鋼鐵工業	30216859	32760575	44744842	-7.764564572	-32.46850888	186702870	248849833	-24.97368081	-
1120717	11206	2006	東和鋼鐵	鋼鐵工業	5248010	5624599	5282394	-6.695392863	-0.65091699	29454041	31353449	-6.058051221	-
1120717	11206	2007	燁興	鋼鐵工業	372732	439802	634062	-15.25004434	-41.21521239	2705563	4092419	-33.88841661	-
1120717	11206	2008	高興昌	鋼鐵工業	103003	115038	219443	-10.46176046	-53.06161509	769769	1062531	-27.55326668	主要係外銷銷售量減少
1120717	11206	2009	第一銅	鋼鐵工業	230630	195811	229346	17.78194279	0.559852799	1250280	1556622	-19.67992229	-
1120717	11206	2010	春源	鋼鐵工業	1854683	1817194	2373201	2.063015837	-21.8488868	10282250	12882025	-20.18141558	-
1120717	11206	2012	春雨	鋼鐵工業	665670	741366	899855	-10.21034145	-26.02474843	4072371	5781195	-29.55831796	-
1120717	11206	2013	中鋼構	鋼鐵工業	1670920	1865032	1593202	-10.40797155	4.878100831	10048140	8873426	13.23856197	-
1120717	11206	2014	中鴻	鋼鐵工業	2793164	3207238	4659058	-12.91061031	-40.04873947	19258671	28441126	-32.28583496	-
1120717	11206	2015	豐興	鋼鐵工業	2790184	3357092	3420677	-16.88687709	-18.4318192	17742998	20806547	-14.72396645	-
1120717	11206	2017	官田鋼	鋼鐵工業	263163	272291	266274	-3.352295889	-1.168345389	1457508	2006609	-27.3646236	-
